
pixel_x,pixel_y,lon,lat,role,label
17130.2,14122.3,-60.840538,45.675997,check,supply-02
19053.8,12741.5,-60.768206,45.714922,check,supply-06
19207.5,12967.8,-60.762354,45.709103,check,supply-08
5705.9,16559.6,-61.232292,45.621378,check,supply-09
7930.6,19254.2,-61.152658,45.554743,check,supply-10
27208.2,16578.2,-60.490473,45.621141,check,supply-13
27234.0,15632.6,-60.491694,45.642693,check,supply-15
11747.2,16818.4,-61.021600,45.614213,check,supply-17
13585.7,16966.2,-60.957687,45.610068,check,supply-18
3340.1,17338.0,-61.317148,45.594968,check,supply-21
22564.7,18174.3,-60.652040,45.576320,check,supply-23
