pixel_x,pixel_y,lon,lat,role,label
18778.0,5926.6,-60.83333366666666,46.5,control,graticule 60d40mW 46d30mN
18774.0,12894.3,-60.83333366666666,46.333333,control,graticule 60d40mW 46d20mN
18770.0,19845.1,-60.83333366666666,46.166667,control,graticule 60d40mW 46d10mN
23660.6,5922.3,-60.666666666666664,46.5,control,graticule 60d30mW 46d30mN
23648.9,12875.8,-60.666666666666664,46.333333,control,graticule 60d30mW 46d20mN
23637.3,19791.9,-60.666666666666664,46.166667,control,graticule 60d30mW 46d10mN
28369.7,5918.2,-60.49999966666667,46.5,control,graticule 60d20mW 46d30mN
28434.0,12857.7,-60.49999966666667,46.333333,control,graticule 60d20mW 46d20mN
28497.8,19738.8,-60.49999966666667,46.166667,control,graticule 60d20mW 46d10mN
33033.7,5914.2,-60.33333366666666,46.5,control,graticule 60d10mW 46d30mN
33090.7,12840.1,-60.33333366666666,46.333333,control,graticule 60d10mW 46d20mN
33147.1,19688.0,-60.33333366666666,46.166667,control,graticule 60d10mW 46d10mN
