# Checks only; NEVER fit. See JSON provenance for fresh versus diagnostic status.
pixel_x,pixel_y,lon,lat,role,label
8711,1907,-61.2646434,45.7205251,check,Q02
6995,2522,-61.3447544,45.7006944,check,Q05
3234,2923,-61.51721218413218,45.683684452946956,check,Q08
6168,4520,-61.3810428,45.6351224,check,C04
6687,4682,-61.3582892,45.6298056,check,C05
4434,1412,-61.4631956,45.7344294,check,F01
4918,2830,-61.43880234935148,45.68828561612321,check,F02
6254,4507,-61.3755651,45.6352696,check,F03
6678,4789,-61.3577455,45.6268086,check,F04
4429,1651,-61.4628667,45.7271145,check,G01
4493,1426,-61.46017419946802,45.7344194891566,check,G02
6226,4507,-61.379904957419875,45.63540204763919,check,G03
6913,5057,-61.3475302,45.6185999,check,G04
9488,5041,-61.22955544129869,45.62008045969098,check,H04
9380,6072,-61.233302032195354,45.5871280063675,check,H05
2579,3973,-61.5487243,45.6494581,check,H06
8983,1116,-61.2545114,45.7460043,check,J22-E01
