# Native image-edge pixels: sheet16.png 10822x7531. TPS. Separate native-scan draft.
pixel_x,pixel_y,lon,lat,role,label
3415,3758,-61.5108299,46.0061361,check,Q01
4932,3099,-61.4425543,46.0272491,check,Q02
5571,1454,-61.41860857857015,46.077981140635956,check,Q03
4194,4476,-61.4774733,45.984369,check,Q04
5034,5128,-61.4362719,45.9635417,check,Q05
4369,6228,-61.4646672,45.9289039,check,Q06
5366,1687,-61.428650886797705,46.070375771336586,check,Q07
3280,3744,-61.5176858,46.0062793,check,Q08
9447,2703,-61.2379472,46.0410268,check,M02
8418,5657,-61.2843832,45.9478089,check,M03
9143,2075,-61.2537262,46.0608386,check,M05
8807,5972,-61.2650787,45.9346069,check,M06
8070,5410,-61.3009939,45.9558741,check,M07
7828,1117,-61.31369,46.0898438,check,N02
