pixel_x,pixel_y,lon,lat,role,label
940,6075,-60.8728214,46.7948683,control,C01
3165,5364,-60.7713609,46.8155884,control,C02
2815,5340,-60.7875579,46.8156004,control,C03
3497,4411,-60.7594282,46.8448133,control,C04
7659,2980,-60.5561277,46.8967368,control,C05
7814,3222,-60.5486443,46.8909179,control,C06
8198,2003,-60.5234073,46.9365137,control,C07
9187,2507,-60.48690580938019,46.91435398740696,control,R10
7707,5677,-60.565557,46.8117269,control,R13
7708,2798,-60.5533496,46.9024182,check,Q01
851,6017,-60.8766574,46.7962211,check,Q02
8219,1980,-60.5212195,46.9369451,check,V01
7713,2846,-60.5534612,46.9012939,check,V02
