pixel_x,pixel_y,lon,lat,role,label
2716,1468,-60.4012006,46.7703941,control,C01
3560,1910,-60.3640754,46.7612864,control,C02
3135,3504,-60.3837889,46.7125753,control,C03
2821,3401,-60.3975972,46.715591,control,C04
2123,4235,-60.4323147,46.6880015,control,C05
3990,3853,-60.343462677293964,46.70099250465348,control,C07
3957,4248,-60.34373300982762,46.68711297816827,control,C08
3862,6122,-60.35009258026133,46.62765541169051,control,C10
2617,1420,-60.4071293,46.7731404,control,C11
2038,4278,-60.4380734,46.686391,control,C12
3759,1645,-60.3578851,46.7649495,control,C13
