pixel_x,pixel_y,lon,lat,role,label
3270,2316,-60.3856399,46.5773732,control,C02
3125,2486,-60.3913876,46.5712846,control,C03
2880,2897,-60.4005967,46.5584094,control,C04
1932,2965,-60.443811,46.5548038,control,C05
2496,4030,-60.4169035,46.5221455,control,C06
1546,3966,-60.4591869,46.52413,control,C07
2325,4359,-60.426935,46.5111101,control,C08
2074,5269,-60.441026,46.482129,control,C09
1525,5680,-60.4607659,46.4676389,control,C11
1720,5926,-60.45491260721991,46.46272905398421,control,C10
2848,1356,-60.3957276,46.60744,control,C13
2605,2281,-60.4066568,46.5748864,control,C14
