pixel_x,pixel_y,lon,lat,role,label
3670,3270,-60.7607919,46.3840158,control,C01
3652,1701,-60.7592323,46.4319779,control,C02
5826,1910,-60.6525747,46.420074,control,C03
6967,3536,-60.5940183,46.3659494,control,C04
4725,3097,-60.7011543,46.387781,control,C05
9945,1457,-60.4584827,46.4340105,control,C06
9312,2445,-60.4782337,46.4078388,control,C07
8127,3151,-60.5344369,46.392057,control,C08
2616,6250,-60.8001408,46.2866192,control,C09
8056,5953,-60.54226032142647,46.28967299284752,control,C11
2574,2605,-60.8074007,46.4042343,control,C13
6575,5100,-60.6125077,46.3172394,control,C14
3230,5333,-60.7684391,46.3176222,control,C15
5683,1385,-60.6573321,46.4371696,check,Q02
3680,1501,-60.7591921,46.4330211,check,V01
5843,1936,-60.651048,46.4195315,check,V02
