# PROVISIONAL; geographic validation failed. Original 10872x7682 image-edge pixels; TPS.
pixel_x,pixel_y,lon,lat,role,label
8695,2442,-60.8928464,46.2320951,control,C01
8787,2376,-60.8882613,46.2340679,control,C02
2612,1437,-61.1745557,46.259508,control,C03
3483,6148,-61.1366662,46.1100839,control,C04
9356,4614,-60.8633288,46.1588858,control,C05
5500,2935,-61.0374896,46.2143643,control,C07
5215,4095,-61.0568465,46.1765718,control,C08
6228,3100,-61.0127492,46.2112555,control,C09
4622,2995,-61.0793835,46.2120159,control,C10
3805,5747,-61.1190319,46.1234773,control,C11
5145,6355,-61.06265,46.1061528,control,C12
