id,pixel_x,pixel_y,longitude,latitude,role
C01,8885,1347,-61.2613235,46.2589682,control
C03,9245,1412,-61.2443171,46.2564744,control
C04,8666,1114,-61.2723197,46.2662513,control
C06,7034,3601,-61.3451426,46.1860368,control
C07,7342,3566,-61.3330319,46.1856061,control
C08,9493,3832,-61.2323552,46.1798992,control
C10,7233,5903,-61.3398281,46.1112072,control
C12,5351,4968,-61.4290245,46.1428783,control
C13,6375,6411,-61.371637,46.1008555,control
C14,9264,5946,-61.2353734,46.1092675,control
C15,6418,2955,-61.3767562,46.2069134,control
C16,4501,5704,-61.4688143,46.1193229,control
C17,6356,5009,-61.3819245,46.1411574,control
C09,8303,3360,-61.2884184,46.1921991,control
Q08,6949,5283,-61.3520005,46.1307664,control
C05,8632,1998,-61.2732975,46.2366431,control
C11,7877,5822,-61.3102471,46.1134917,control
Q06,9220,3431,-61.2477713,46.1917461,control
F03,8317,3599,-61.2892991,46.1823219,control
F04,5140,6150,-61.4394085,46.1043032,control
F05,8948,6115,-61.2489105,46.1081554,control
G03,8877,3892,-61.26422315506629,46.1755968481123,control
R01,5880,3935,-61.4039697,46.1772838,control
R02,6000,4287,-61.398126,46.1644937,control
R03,7751,3052,-61.3149477,46.2028234,control
R04,9067,6058,-61.2402308,46.1109067,control
Q02,7218,3590,-61.3386802,46.1855246,check
Q03,6400,4940,-61.3800562,46.1431433,check
F06,8570,1806,-61.2784062,46.2431588,check
F07,5853,3855,-61.4043153,46.1792191,check
G01,5156,6061,-61.4374246,46.1082965,check
T01,5948,3982,-61.4003982,46.1750765,check
T02,6090,4406,-61.3945209,46.1604956,check
T03,7810,3203,-61.3114722,46.1975077,check
T04,7586,3633,-61.3224035,46.18344,check
