# Native source image-edge pixels, sheet14.png 10852x7622; TPS. Controls only; import into a separate draft.
pixel_x,pixel_y,lon,lat,role,label
8885,1347,-61.2613235,46.2589682,control,C01
9245,1412,-61.2443171,46.2564744,control,C03
8666,1114,-61.2723197,46.2662513,control,C04
7034,3601,-61.3451426,46.1860368,control,C06
7342,3566,-61.3330319,46.1856061,control,C07
9493,3832,-61.2323552,46.1798992,control,C08
7233,5903,-61.3398281,46.1112072,control,C10
5351,4968,-61.4290245,46.1428783,control,C12
6375,6411,-61.371637,46.1008555,control,C13
9264,5946,-61.2353734,46.1092675,control,C14
6418,2955,-61.3767562,46.2069134,control,C15
4501,5704,-61.4688143,46.1193229,control,C16
6356,5009,-61.3819245,46.1411574,control,C17
8303,3360,-61.2881622,46.194898,control,C09
6949,5283,-61.3520005,46.1307664,control,Q08
8632,1998,-61.2732975,46.2366431,control,C05
7877,5822,-61.3102471,46.1134917,control,C11
9220,3431,-61.2477713,46.1917461,control,Q06
8317,3599,-61.2892991,46.1823219,control,F03
5140,6150,-61.4394085,46.1043032,control,F04
8948,6115,-61.2489105,46.1081554,control,F05
8877,3892,-61.26422315506629,46.1755968481123,control,G03
