pixel_x,pixel_y,lon,lat,role,label
2815.5009765625,3069.8764189160374,-61.53739571571351,46.02701628119886,control,gcp-1
6360.5009765625,3823.8892541895866,-61.37701034545899,46.0034604901647,control,gcp-3
6922.0009765625,3488.88635879067,-61.35259151458741,46.01556185354673,control,gcp-4
7179.0009765625,3299.3872244253976,-61.34177684783936,46.021224143730045,control,gcp-5
7752.5009765625,1631.887582619078,-61.31641387939454,46.07317092041352,control,gcp-6
6917.5009765625,994.3840603812205,-61.358213424682624,46.0945431794409,control,gcp-7
7975.5009765625,1117.8902093727347,-61.307272911071784,46.088382420343684,control,gcp-8
8241.0009765625,1711.887582619078,-61.29319667816163,46.07105717830346,control,gcp-9
8907.0009765625,2218.887015479084,-61.263542175292976,46.05578142820199,control,gcp-10
9538.5009765625,2905.389343738007,-61.23350143432618,46.03344088343077,control,gcp-11
9440.0009765625,4554.389701931687,-61.238822937011726,45.981575935563015,control,gcp-12
9463.5009765625,6316.887343823291,-61.232342720031745,45.92649814697973,control,gcp-14
3294.0009765625,6269.885045413842,-61.51279449462891,45.927513068214864,control,gcp-15
4873.0009765625,5507.886657285404,-61.443099975585945,45.9512689537714,control,gcp-16
5441.0009765625,5181.887493070658,-61.418402194976814,45.9612637549562,control,gcp-17
6673.0009765625,5447.886597586456,-61.36229038238526,45.95356638277311,control,gcp-18
5783.0009765625,1239.889761630634,-61.40902519226075,46.08439397537928,control,gcp-19
3861.0009765625,1837.8894631359003,-61.49597167968751,46.0652511327084,control,gcp-21
4749.0009765625,1761.3881497590721,-61.45528793334962,46.06837755174853,control,gcp-22
4441.5009765625,2976.8865677369836,-61.466574668884284,46.03093822075027,control,gcp-23
4145.0009765625,4959.385134962262,-61.47743225097657,45.96931793426444,control,gcp-24
4572.0009765625,6234.886627435931,-61.456103324890144,45.92858768522428,control,gcp-25
5041.5009765625,6322.888478103279,-61.437349319458015,45.92497573066294,control,gcp-26
5874.5009765625,6298.887612468551,-61.39778137207032,45.92628919589703,control,gcp-27
5338.0009765625,5793.887254274871,-61.42224311828614,45.942287093650165,control,gcp-28
5575.0009765625,4317.386746833824,-61.41383171081544,45.98903065958274,control,gcp-29
7432.5,4667.9,-61.33006096,45.97683403,control,gcp-30
7727.5,5206.4,-61.31555557,45.96236755,control,gcp-32
7567.5,5492.4,-61.32040501,45.95291009,control,gcp-33
8007.5,5631.9,-61.3022089,45.94956826,control,gcp-34
8733.5,4915.4,-61.27203941,45.9689003,control,gcp-35
9237.0,5629.9,-61.24792099,45.946644,control,gcp-36
