pixel_x,pixel_y,lon,lat,role,label
4204,1586,-60.72723408095741,45.90202050039225,control,C01
5506,1421,-60.66570221584912,45.90664435711554,control,C02
7357,4711,-60.5801208,45.800244,control,C06
7893,4438,-60.559398,45.8100631,control,C07
8091,4909,-60.5504286,45.7957361,control,C08
7584,6215,-60.5716711,45.7544052,control,C09
3177,4583,-60.774631400274856,45.80632335909514,control,C10
3490,5605,-60.759893256798435,45.77186526029751,control,C11
7155,4952,-60.5914593,45.7944226,control,C14
8245,1384,-60.53481378876622,45.9125690595894,control,C15
7989,4350,-60.5539977,45.8136712,check,Q03
3444,4604,-60.762471084012375,45.80550790462264,check,Q04
