pixel_x,pixel_y,lon,lat,role,label
5195,2999,-61.4174538,45.5143962,control,C03
6918,1612,-61.3457876,45.5579732,control,C04
8140,1849,-61.28847897358456,45.54801955963449,control,C05
8990,2655,-61.24992019629032,45.52239257393309,control,C06
8650,3142,-61.2630259,45.5067385,control,C07
5228,4495,-61.4227622,45.4602023,control,C08
1800,5795,-61.5768757,45.4171718,control,C09
3738,6460,-61.487694816231645,45.399073426196466,control,C10
3678,7020,-61.49038478115265,45.38164190350355,control,C11
6130,6129,-61.381871724459266,45.410098800828365,control,C12
2438,5128,-61.5475064,45.4395402,control,C13
3880,2665,-61.4844047,45.5190236,control,C14
2207,2609,-61.55921,45.5193249,control,C15
8049,5220,-61.296680926410716,45.43981534654455,control,C16
