pixel_x,pixel_y,lon,lat,role,label
5338,3069,-61.4186559,45.8618824,control,T
5353,3038,-61.4173143,45.862898,control,C1
4862,2843,-61.4391506,45.8693,control,C2
4915,2683,-61.4373415,45.8740861,control,C3
4911,3230,-61.4379035,45.8557306,control,V01
5462,3370,-61.4131477,45.8510448,control,V02
5983,3435,-61.3891236,45.8495754,control,V03
6395,3688,-61.3697265,45.841205,control,V04
6327,4171,-61.3730738,45.8238778,control,V05
5052,4278,-61.4318311,45.8193476,control,V06
5105,4356,-61.4285647,45.8175827,control,V07
6060,2609,-61.3862637,45.8756847,control,V08
6883.6,5246.3,-61.34718418,45.79212535,control,gcp-2
6367.3,4070.7,-61.36971474,45.82975616,control,gcp-3
7426.8,4815.4,-61.32293701,45.80523022,control,gcp-4
6785.6,2053.4,-61.35211945,45.89526516,control,gcp-5
6740.2,1858.7,-61.35512352,45.9009099,control,gcp-6
4130.2,4494.9,-61.47449791,45.81131037,control,gcp-7
4375.5,4264.4,-61.46389246,45.81913955,control,gcp-9
4885.0,4716.9,-61.44018173,45.80475156,control,gcp-11
4589.5,4421.9,-61.453228,45.81441376,control,gcp-12
6969.0,3823.9,-61.34572506,45.83811345,control,gcp-13
6947.0,3896.4,-61.34598255,45.83518331,control,gcp-14
6934.0,4097.4,-61.34613276,45.82788718,control,gcp-15
6039.5,5456.0,-61.38683796,45.78365641,control,gcp-17
5571.0,5405.9,-61.40902519,45.78437467,control,gcp-18
5775.5,5739.9,-61.39906883,45.77234253,control,gcp-19
3287,1589,-61.510670027898875,45.90556772228298,control,O00
4120,1230,-61.472227,45.9209605,control,O01
3470,3200,-61.5019167,45.8556662,control,O02
4134,5701,-61.4763379,45.7741145,control,O03
4297,6220,-61.4693901,45.7588166,control,O04
8930,1332,-61.2546889,45.9160407,control,O05
9364,2209,-61.2337452,45.8881364,control,O06
9281,2846,-61.2383886,45.8680907,control,O07
9451,4518,-61.2324807,45.8160689,control,O08
9603,5489,-61.2262765,45.785011,control,O09
6506,6144,-61.3632546,45.7609166,control,O10
7991,6417,-61.2984324,45.7513367,control,O11
4296,6363,-61.4695209,45.754128,control,S01
4347,6219,-61.46686725138278,45.75868048716226,check,V19N
4369,6347,-61.46589308276295,45.75453269124761,check,V19S
