# sheet-19 Fletcher graticule points.
# GENERATED - edit the observation JSON and re-emit; do not hand-edit.
# Control and check intersections are disjoint by construction.
pixel_x,pixel_y,lon,lat,role,label
1652.0,1326.0,-61.583333,45.916667,control,61d35mW 45d55mN
1652.0,3950.0,-61.583333,45.833333,check,61d35mW 45d50mN
1652.0,6566.0,-61.583333,45.750000,control,61d35mW 45d45mN
3472.0,1326.0,-61.500000,45.916667,control,61d30mW 45d55mN
3472.0,3950.0,-61.500000,45.833333,check,61d30mW 45d50mN
3472.0,6566.0,-61.500000,45.750000,control,61d30mW 45d45mN
5289.0,1326.0,-61.416667,45.916667,control,61d25mW 45d55mN
5289.0,3950.0,-61.416667,45.833333,check,61d25mW 45d50mN
5289.0,6566.0,-61.416667,45.750000,control,61d25mW 45d45mN
7130.0,1326.0,-61.333333,45.916667,control,61d20mW 45d55mN
7130.0,3950.0,-61.333333,45.833333,check,61d20mW 45d50mN
7130.0,6566.0,-61.333333,45.750000,control,61d20mW 45d45mN
8958.0,1326.0,-61.250000,45.916667,control,61d15mW 45d55mN
8958.0,3950.0,-61.250000,45.833333,check,61d15mW 45d50mN
8958.0,6566.0,-61.250000,45.750000,control,61d15mW 45d45mN
