# sheet-16 Fletcher feature-led points, measured by hand 2026-08-01.
# Recovered from browser storage; every row was dragged onto its drawn feature.
# 32 controls in the first pass, then 6 added to fill gaps on the eastern side.
# No checks frozen yet: choosing them after a fit would make any score circular.
pixel_x,pixel_y,lon,lat,role,label
5858.0,3571.5,-61.39992760,46.01190630,control,cand-0168
1643.0,4754.0,-61.59120083,45.97309478,control,cand-0465
2876.0,5710.0,-61.53283596,45.94416720,control,cand-0418
8958.0,6213.5,-61.25722950,45.92764430,control,cand-1018
2383.0,4282.0,-61.55783415,45.98891894,control,cand-0458
4970.9,3235.8,-61.44039631,46.02280356,control,cand-0179
2815.5,3069.9,-61.53739572,46.02701628,control,gcp-1
6360.5,3823.9,-61.37701035,46.00346049,control,gcp-3
6922.0,3488.9,-61.35259151,46.01556185,control,gcp-4
7179.0,3299.4,-61.34177685,46.02122414,control,gcp-5
7752.5,1631.9,-61.31641388,46.07317092,control,gcp-6
6917.5,994.4,-61.35821342,46.09454318,control,gcp-7
7975.5,1117.9,-61.30727291,46.08838242,control,gcp-8
8241.0,1711.9,-61.29319668,46.07105718,control,gcp-9
8907.0,2218.9,-61.26354218,46.05578143,control,gcp-10
9538.5,2905.4,-61.23350143,46.03344088,control,gcp-11
9440.0,4554.4,-61.23882294,45.98157594,control,gcp-12
9463.5,6316.9,-61.23234272,45.92649815,control,gcp-14
3294.0,6269.9,-61.51279449,45.92751307,control,gcp-15
4873.0,5507.9,-61.44309998,45.95126895,control,gcp-16
5441.0,5181.9,-61.41840219,45.96126375,control,gcp-17
6673.0,5447.9,-61.36229038,45.95356638,control,gcp-18
5783.0,1239.9,-61.40902519,46.08439398,control,gcp-19
3861.0,1837.9,-61.49597168,46.06525113,control,gcp-21
4749.0,1761.4,-61.45528793,46.06837755,control,gcp-22
4441.5,2976.9,-61.46657467,46.03093822,control,gcp-23
4145.0,4959.4,-61.47743225,45.96931793,control,gcp-24
4572.0,6234.9,-61.45610332,45.92858769,control,gcp-25
5041.5,6322.9,-61.43734932,45.92497573,control,gcp-26
5874.5,6298.9,-61.39778137,45.92628920,control,gcp-27
5338.0,5793.9,-61.42224312,45.94228709,control,gcp-28
5575.0,4317.4,-61.41383171,45.98903066,control,gcp-29
7432.5,4667.9,-61.33006096,45.97683403,control,gcp-30
7727.5,5206.4,-61.31555557,45.96236755,control,gcp-32
7567.5,5492.4,-61.32040501,45.95291009,control,gcp-33
8007.5,5631.9,-61.30220890,45.94956826,control,gcp-34
8733.5,4915.4,-61.27203941,45.96890030,control,gcp-35
9237.0,5629.9,-61.24792099,45.94664400,control,gcp-36
